	chioceA	choiceB	choiceC	choiceD	answer	sep_choiceA	sep_choiceB	sep_choiceC	sep_choiceD
288	Michigan is the land of the great lakes, where glaciers tore out lakes 	Michigan is the land of the great lakes, where there are lots of swimmers 	Michigan is the land of the great lakes, where glaciers are in lakes 	Michigan is the land of the great lakes, where lakes are filled with eels	A	 glaciers tore out lakes 	 there are lots of swimmers 	 glaciers are in lakes 	 lakes are filled with eels
289	Mountains exist on a planet next to Saturn 	Mountains exist on a planet next to Mars 	Mountains exist on a planet next to Neptune 	Mountains exist on a planet next to Uranus	B	 Saturn 	 Mars 	 Neptune 	 Uranus
290	Avoiding the use of fossil fuel is an example of Liberalism 	Avoiding the use of fossil fuel is an example of Ecosystem Vulnerability 	Avoiding the use of fossil fuel is an example of Conservationism 	Avoiding the use of fossil fuel is an example of Protectionism	C	 Liberalism 	 Ecosystem Vulnerability 	 Conservationism 	 Protectionism
291	Some animals that detect objects by emitting sound live in the arctic 	Some animals that detect objects by emitting sound live in soil 	Some animals that detect objects by emitting sound live in a tide pool 	Some animals that detect objects by emitting sound live in rivers	D	 the arctic 	 soil 	 a tide pool 	 rivers
292	As demand for product lags retailers make more money 	As demand for product lags retailers open new branches 	As demand for product lags retailers lose out on revenue 	As demand for product lags retailers double up on their stock	C	 retailers make more money 	 retailers open new branches 	 retailers lose out on revenue 	 retailers double up on their stock
293	Seed dispersal happened when the plant's seeds were sold to a person in another country 	Seed dispersal happened when the plant's seeds were genetically modified for pesticide resitance 	Seed dispersal happened when the plant's seeds were destroyed by radiation during processing 	Seed dispersal happened when the plant's seeds were planted in the same garden	A	 sold to a person in another country 	 genetically modified for pesticide resitance 	 destroyed by radiation during processing 	 planted in the same garden
294	when a person pushes a bike pedal it will make the bike speed to a halt 	when a person pushes a bike pedal it will make the bike slow down very slowly 	when a person pushes a bike pedal it will make the bike has zero effect at all 	when a person pushes a bike pedal it will make the bike accelerate it forward rapidly	D	 speed to a halt 	 slow down very slowly 	 has zero effect at all 	 accelerate it forward rapidly
295	It changes from winter to spring because of a moon 	It changes from winter to spring because of a cloud 	It changes from winter to spring because of a star 	It changes from winter to spring because of a sky	C	 moon 	 cloud 	 star 	 sky
296	Melissa is creating a new product to quench people's thirst. She thinks it will be more popular if it is less flat. She decides to add more salt to the drink 	Melissa is creating a new product to quench people's thirst. She thinks it will be more popular if it is less flat. She decides to add some dissolved carbon dioxide 	Melissa is creating a new product to quench people's thirst. She thinks it will be more popular if it is less flat. She decides to shake up the drink bottles before shipping them to the stores 	Melissa is creating a new product to quench people's thirst. She thinks it will be more popular if it is less flat. She decides to boil the drink in a large vat	B	 add more salt to the drink 	 add some dissolved carbon dioxide 	 shake up the drink bottles before shipping them to the stores 	 boil the drink in a large vat
297	An electric car causes more CO2 emissions 	An electric car causes equal CO2 emissions 	An electric car causes electric emissions 	An electric car causes less CO2 emmissions	D	 more CO2 emissions 	 equal CO2 emissions 	 electric emissions 	 less CO2 emmissions
298	A human who goes long periods of time without nourishment will experience Starvation 	A human who goes long periods of time without nourishment will experience Perspiration 	A human who goes long periods of time without nourishment will experience Fullness 	A human who goes long periods of time without nourishment will experience happiness	A	 Starvation 	 Perspiration 	 Fullness 	 happiness
299	seasons change due to the earth's tides 	seasons change due to the earth's size 	seasons change due to the earth's weather 	seasons change due to the earth's degree of angle	D	 tides 	 size 	 weather 	 degree of angle
300	A car can be powered by all but the push of a cat 	A car can be powered by all but fossil fuel products refined 	A car can be powered by all but the motion of atmosphere 	A car can be powered by all but the warmth of the sun	A	 the push of a cat 	 fossil fuel products refined 	 the motion of atmosphere 	 the warmth of the sun
301	A chipmunk will consume all of these things with just one that it refuses to: jerky 	A chipmunk will consume all of these things with just one that it refuses to: grapes 	A chipmunk will consume all of these things with just one that it refuses to: nuts 	A chipmunk will consume all of these things with just one that it refuses to: acorn	A	 jerky 	 grapes 	 nuts 	 acorn
302	Arctic animals often live on ice 	Arctic animals often live on soil 	Arctic animals often live on liquid water 	Arctic animals often live on plants	A	 ice 	 soil 	 liquid water 	 plants
303	The moon has less matter than Earth 	The moon orbits around the sun 	The moon weighs more than Earth 	The moon has more mass than Earth	A	 has less matter than Earth 	 orbits around the sun 	 weighs more than Earth 	 has more mass than Earth
